"","x"
"1","APLF"
"2","ATP6V0B"
"3","C1orf106"
"4","CAPG"
"5","CAPZB"
"6","CHI3L1"
"7","CLHC1"
"8","DNAH14"
"9","DRAM2"
"10","EMC1"
"11","ERMAP"
"12","GPR17"
"13","HIST3H2BB"
"14","HMGCL"
"15","KPNA6"
"16","LDAH"
"17","MOGS"
"18","MRPS9"
"19","NBPF1"
"20","NPHP4"
"21","OVGP1"
"22","PARS2"
"23","PDPN"
"24","PIFO"
"25","PIGC"
"26","SLC4A5"
"27","TIPRL"
"28","TMEM206"
"29","TMEM9"
"30","TTC4"
"31","UBR4"
"32","WDR92"
"33","ZBTB48"
"34","ZCCHC11"
"35","AGPAT1"
"36","ARPC2"
"37","BTNL9"
"38","C5orf49"
"39","CEP44"
"40","CLSTN2"
"41","CRELD1"
"42","CYBRD1"
"43","EAF2"
"44","ECI2"
"45","FLNB"
"46","HLA-DRA"
"47","HSD17B8"
"48","IQCG"
"49","LINC01207"
"50","MKRN2"
"51","MSX2"
"52","NUDT12"
"53","PDK1"
"54","PHYKPL"
"55","PPARG"
"56","PSMB9"
"57","RAB24"
"58","RAD17"
"59","RNF130"
"60","RPS14"
"61","SCHIP1"
"62","SENP7"
"63","SLC30A9"
"64","SNHG18"
"65","SRD5A3"
"66","TADA3"
"67","TAP2"
"68","TBC1D9B"
"69","TPRA1"
"70","ZDHHC23"
"71","ABRACL"
"72","ADAM32"
"73","APTX"
"74","ASNS"
"75","BHLHA15"
"76","BIN3"
"77","CCAR2"
"78","DERL1"
"79","ERMP1"
"80","FAM66B"
"81","FGFR1"
"82","FUBP3"
"83","HLA-DQA2"
"84","HLA-DQB2"
"85","IDNK"
"86","MDGA1"
"87","NAPRT"
"88","OSR2"
"89","PAQR8"
"90","PAXIP1-AS1"
"91","PEBP4"
"92","PTGES"
"93","PTGS1"
"94","PYCRL"
"95","RBM18"
"96","RNF5"
"97","SH2B2"
"98","SKAP2"
"99","TACC1"
"100","TMEM106B"
"101","TMEM184A"
"102","TRIQK"
"103","ZNF704"
"104","ANO5"
"105","ARHGEF7"
"106","ASCC1"
"107","CARS2"
"108","CDH23"
"109","CHST3"
"110","EIF4B"
"111","FADS1"
"112","FAS"
"113","GCN1"
"114","GHITM"
"115","IGSF9B"
"116","LIG4"
"117","LINC00900"
"118","METTL10"
"119","NDUFS8"
"120","NUTM2B"
"121","OSGEP"
"122","PARP2"
"123","PIP4K2A"
"124","PPFIBP2"
"125","RAPGEF3"
"126","RASA3"
"127","SAAL1"
"128","SFTPD"
"129","SPRYD3"
"130","SVIP"
"131","TAS2R43"
"132","TMEM117"
"133","TNS2"
"134","TOX4"
"135","TUBGCP2"
"136","USP12"
"137","VWA2"
"138","WDR74"
"139","ZNF268"
"140","ZNF641"
"141","ARFGAP1"
"142","C19orf44"
"143","C20orf96"
"144","C21orf62-AS1"
"145","CBR1"
"146","CBS"
"147","CD93"
"148","CST1"
"149","CYP4F11"
"150","CYP4F12"
"151","CYP4F2"
"152","DNTTIP1"
"153","EFCAB6"
"154","EMC10"
"155","ERVK3-1"
"156","HLCS"
"157","IER2"
"158","MED15"
"159","MIATNB"
"160","NAGA"
"161","NDUFV3"
"162","PARD6B"
"163","PIGP"
"164","PLA2G4C"
"165","PLTP"
"166","PPP1R3D"
"167","RAB36"
"168","RBCK1"
"169","SAMM50"
"170","SERHL2"
"171","SERINC3"
"172","SLC7A4"
"173","SMDT1"
"174","SMG9"
"175","SNAP29"
"176","SNU13"
"177","SNX21"
"178","SOX12"
"179","TCEAL5"
"180","TCEANC"
"181","TCF20"
"182","TRMT2A"
"183","TTC3"
"184","UBASH3A"
"185","URB1"
"186","VAPB"
"187","YBEY"
"188","ZNF552"
