PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000107959.11.PITRM1.wgt.RDat	PITRM1	10	3179920	3215003	0.490	rs1574318	 3.57	rs4881111	 0.03202	-3.78	-0.421	734	18	enet	0.089	0.0031	 0.765	4.44e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000237399.3.PITRM1-AS1.wgt.RDat	PITRM1-AS1	10	3183824	3210164	0.628	rs1574318	 3.57	rs7924157	 0.14828	-4.70	-0.873	729	50	enet	0.28	8.7e-08	 0.950	3.42e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000239665.4.RP11-295P9.3.wgt.RDat	RP11-295P9.3	10	13673143	13710299	0.595	rs3995590	-3.14	rs10906433	 0.32781	-5.76	-0.210	710	 1	top1	0.33	5.1e-09	 0.210	8.34e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000240291.1.RP11-499P20.2.wgt.RDat	RP11-499P20.2	10	18802044	18834580	0.303	rs1779244	 3.00	rs3740102	 0.26908	 5.19	 1.442	597	 4	lasso	0.28	1.3e-07	 1.146	2.52e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000120539.10.MASTL.wgt.RDat	MASTL	10	27447478	27475853	0.474	rs10829053	 3.31	rs7086553	 0.39057	-5.87	-1.404	465	 1	top1	0.39	7.6e-11	 1.404	1.60e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000165322.13.ARHGAP12.wgt.RDat	ARHGAP12	10	32094365	32217742	0.149	rs2808062	 2.76	rs2808079	 0.08643	-3.99	-1.371	381	24	enet	0.11	0.0012	 0.609	5.42e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000271335.1.RP11-324I22.4.wgt.RDat	RP11-324I22.4	10	35603480	35625329	0.245	rs1352	-2.81	rs11010152	 0.03051	 3.70	 0.887	333	22	enet	0.058	0.014	 1.438	1.51e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000196793.9.ZNF239.wgt.RDat	ZNF239	10	44051792	44070066	0.283	rs11814130	-2.49	rs3006389	 0.07824	-4.34	 0.320	462	 4	lasso	0.097	0.002	-0.438	6.61e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000188234.9.AGAP4.wgt.RDat	AGAP4	10	46321042	46349323	0.202	rs7091141	-3.96	rs10751384	 0.02247	 3.86	-2.751	123	 5	lasso	0.049	0.023	-2.694	7.07e-03
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000174194.11.AGAP8.wgt.RDat	AGAP8	10	51224681	51371321	0.551	rs10993994	15.35	rs10761581	 0.46884	 6.38	-0.281	206	 4	lasso	0.53	8.4e-16	-0.960	3.37e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000138293.15.NCOA4.wgt.RDat	NCOA4	10	51565108	51590734	0.198	rs10993994	15.35	rs10993994	 0.18108	 4.45	15.348	131	 1	top1	0.18	2.6e-05	15.348	3.65e-53
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000099290.11.FAM21A.wgt.RDat	FAM21A	10	51827648	51893269	0.572	rs10993994	15.35	rs2338050	 0.44924	-6.23	-1.187	300	 1	top1	0.45	1e-12	 1.187	2.35e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000204147.5.ASAH2B.wgt.RDat	ASAH2B	10	52499078	52516948	0.311	rs10826014	 2.47	rs4245008	 0.20323	 5.17	-0.181	473	 6	enet	0.23	1.5e-06	-0.113	9.10e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000166321.9.NUDT13.wgt.RDat	NUDT13	10	74870217	74891586	0.343	rs2921448	 1.91	rs16930346	 0.30482	-5.84	 1.268	223	20	lasso	0.34	1.8e-09	-1.075	2.82e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000236756.4.DNAJC9-AS1.wgt.RDat	DNAJC9-AS1	10	75007118	75036742	0.453	rs4746148	-2.30	rs7923276	 0.03931	-3.18	 0.421	223	 1	top1	0.039	0.037	-0.421	6.74e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000224195.1.RP11-574K11.5.wgt.RDat	RP11-574K11.5	10	75573276	75574495	0.287	rs2934773	 2.56	rs2675676	 0.01644	-3.09	-0.452	232	 1	top1	0.016	0.12	 0.452	6.51e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000156110.9.ADK.wgt.RDat	ADK	10	75910960	76469061	0.378	rs2675661	 2.59	rs11001014	-0.00797	 3.69	 1.765	394	 4	lasso	0.0095	0.18	 0.978	3.28e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000224596.3.ZMIZ1-AS1.wgt.RDat	ZMIZ1-AS1	10	80703085	80827652	0.446	rs10509398	-3.32	rs4980014	 0.00739	 3.45	 0.749	632	 1	top1	0.0074	0.2	 0.749	4.54e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000242600.2.MBL1P.wgt.RDat	MBL1P	10	81664654	81710092	0.237	rs12416455	 2.43	rs7072068	 0.01535	 3.49	 1.424	324	 1	top1	0.015	0.13	 1.424	1.54e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000133661.11.SFTPD.wgt.RDat	SFTPD	10	81697496	81742370	0.271	rs12416455	 2.43	rs7908468	 0.04481	-3.57	-1.043	314	 1	top1	0.045	0.028	 1.043	2.97e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000230091.2.TMEM254-AS1.wgt.RDat	TMEM254-AS1	10	81806616	81838668	0.477	rs12416455	 2.43	rs4478933	 0.23580	 5.45	 0.091	331	 7	lasso	0.35	1.1e-09	 0.393	6.94e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000152778.7.IFIT5.wgt.RDat	IFIT5	10	91174343	91180758	0.271	rs1408583	 3.21	rs303212	 0.17993	-4.77	 0.380	547	 1	top1	0.18	2.8e-05	-0.380	7.04e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000232229.1.LINC00865.wgt.RDat	LINC00865	10	91589267	91600618	0.397	rs1408583	 3.21	rs1125326	 0.28964	 5.06	 2.278	488	 1	top1	0.29	5.5e-08	 2.278	2.27e-02
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000270670.1.RP11-248C1.3.wgt.RDat	RP11-248C1.3	10	91597369	91599091	0.338	rs1408583	 3.21	rs1125326	 0.05734	 4.30	 2.278	483	52	enet	0.095	0.0022	 2.463	1.38e-02
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000236493.1.EIF2S2P3.wgt.RDat	EIF2S2P3	10	94428502	94429500	0.214	rs7098170	-3.68	rs10882099	 0.05203	 3.79	-2.262	376	 4	lasso	0.11	0.0011	-2.590	9.59e-03
