N1	N10	N103	N109	N111	N114	N12	N120	N123	N124	N125	N132	N133	N139	N160	N162	N166	N167	N172	N178	N18	N182	N185	N186	N19	N198	N201	N202	N209	N210	N216	N229	N231	N232	N250	N258	N26	N265	N271	N273	N274	N279	N28	N283	N286	N289	N300	N31	N312	N314	N318	N319	N32	N325	N326	N329	N330	N334	N335	N339	N34	N340	N342	N349	N37	N373	N375	N378	N384	N391	N393	N405	N408	N431	N434	N467	N47	N473	N480	N482	N487	N496	N498	N50	N502	N508	N509	N513	N515	N521	N54	N551	N558	N563	N565	N57	N574	N576	N577	N58	N585	N587	N595	N6	N60	N600	N605	N607	N608	N61	N613	N62	N637	N64	N643	N659	N67	N69	N71	N716	N72	N727	N728	N729	N78	N85	N92	N96
chr1:2173777	1	1	0.8	0	0	0	0.86	0	1	0.75	0	0	0	0	1	0	0	0	1	0.7	0	1	0.86	0	0.8	0	0	1	0	0	0.86	0	0	0	0.8	0.8	0	0	0.83	1	0	0.71	0	1	1	0	0.8	0.88	0	1	0.78	0.89	0	0	0.67	0.88	0.6	1	0	1	0	0.8	0	0.7	0	0.83	0.6	0.83	0.8	0	1	0.92	0	0.86	0	0	0	0.88	0.8	0	0	0	0	0	0	0.88	0.86	1	0	1	0	0.8	1	0	0	0.8	0.62	1	0	0	0	0.86	0.78	0	1	0.86	0.93	0	0	1	0	0	0	0.86	0	0.75	0	0	0	0	0.9	0	1	0.67	1	1	0.88	1
chr1:2598463	0.88	0	0.75	1	0.67	0	0.8	0	0	0	0.8	0.75	0.67	0	0.86	0	1	0	0.8	0.8	0	0.57	0.71	0	0.54	0	0	0.83	0	0.8	0	1	0.57	0	0.83	0.88	1	0.4	0.5	0.6	0.29	0.78	0	0.67	0.5	0.5	0.6	1	1	0.8	0.69	0.67	0.64	0.17	0.83	0.57	1	0.5	0.7	0	0	1	0	0.55	0	0.62	0.5	0.44	0	0	0.8	0.75	0	0.73	0.4	0.71	0	0	0	0.62	0	0	0	0.6	0	0.58	0.78	0.78	0.56	0.67	0	0.88	0.75	0.78	0.75	0	0	0	0.8	0	0	0.5	0.71	0.57	0.71	0.71	0.83	0.86	0.8	0.69	0	0	0	0.67	0.33	0.86	0	0	0.5	0.88	0.86	0	0.67	0.71	0.83	0.64	0.78	0
chr1:2840375	0.67	0	0.67	0.64	0	0.8	0.62	0.82	1	0.8	0.7	0.75	0.67	0.92	0.53	0.67	0.44	0	0.86	0.77	0	1	0.9	0.57	0.8	0	0.89	0	0.86	0.67	1	0	0.5	0.8	0.8	0	0	0.89	0.5	0.89	0.75	0.67	0.67	0.82	0.57	0.64	0.73	0.7	0.57	0.79	0.78	0.75	0.73	0.75	0.86	0	0.93	0.57	0.69	0	1	0.56	0.4	0.83	0.67	0.75	0.58	0.8	0.75	0.8	0.79	0.68	0	0.61	0.5	0.75	0	0.56	0	0.46	0.79	0.9	0	0	0	0.7	0.71	0.7	0	0.84	0.87	0.87	0.75	0.75	0.86	0	1	0.67	0.67	0.75	0.43	0.67	0.8	0.67	0.69	0.56	0.62	0.8	0.83	0.69	0	1	0.83	0	0.71	0.86	0	0	0.69	0.56	0.83	0.86	0.73	0.69	0.75	0.86	0.64	0
chr1:3060240	0.9	1	0.33	0.8	0	0.75	0.75	0.8	0.57	0	0.88	0.89	0	0	0.5	0	0.8	0	0.89	0.8	0	0.62	0	0.67	0.78	0.75	0	0	0.4	0	0	0.8	0	0.6	0	0	0	0	0	0.71	0	0.5	0.4	0.82	0.83	0.62	0	0	0	0.83	0.8	0.73	0.64	0.8	0.78	0.89	0	0	0.73	0	0	0	0.6	0.67	0.71	1	0	0.6	0	0	0.67	0.36	0	0.82	0	0.88	0	0.6	0.62	0.75	0.5	0.78	0	0.6	0	0.92	0.4	0.58	0.4	0.57	0.64	0.45	0.33	0.67	0	0	0	0.82	0	0	0	0.6	0.91	0	0.55	1	0.78	0.33	0	0.59	0.8	0	0	0	0.82	0	0	0	0.56	0.7	0.5	0.57	0.82	0	0.71	0.4	0.67	0
chr1:3172414	1	0	0.6	0.75	0	0.6	0.75	1	0.64	0.33	0.67	0	0.75	1	1	0	0.8	0	1	0.87	0	0.78	0	1	0.62	1	0.58	1	0.62	0.83	0	0.8	0	0	0.67	0.78	0	0.6	0.71	0.67	0.88	0.75	0	0.57	0.78	0.83	0.8	0.62	0	1	0.86	0.7	0.86	0.43	0.9	0.91	0.78	0.67	0.8	0	0	0	1	0.82	0	0.62	0.71	0.85	0	0.8	0.93	1	0	0.8	0.57	1	0	0	1	0.27	0.88	1	0.6	0	0	0.88	0.57	1	0.5	1	0.8	1	0	0.64	0.75	0	0.62	0.71	0.88	0	0	0.92	0.56	1	0.87	1	0.57	1	0.89	0.5	0	0	0	0	0.9	0.83	0	0.71	0.9	0.88	0.83	0	1	1	0	0.75	0.83	0
chr1:3293630	0.69	1	0.88	0.67	0.62	0.64	0.83	0.52	0.93	0.92	0.4	0.9	0.77	0.87	0.62	0.55	1	0	0.48	0.53	1	0.47	0.68	0.65	0.67	0.44	0.75	0.64	0.83	0.79	0.64	0.62	0.86	0	0.62	0.83	1	0.5	0.5	0.57	0.72	0.55	0	0.75	0.77	0.4	0.6	0.44	0.79	0.71	0.54	0.68	0.85	0.74	0.5	0.59	0.44	0.95	0.7	0.67	0.65	0.63	0.93	0.67	0.47	0.57	0.61	0.41	0.76	0.4	0.56	0.63	0.86	0.59	0.95	0.93	0.74	0.6	0.69	0.76	0.83	0.44	0.73	0.9	0	0.61	0.88	0.68	0.83	0.56	0.88	0.29	0.71	0.8	0.73	0.78	0.8	0.57	1	0.75	0	0.7	0.45	0.91	0.44	0.39	0.77	0.6	0.45	1	0.12	0.62	0.45	0.91	0.85	0.67	0.62	0.86	0.71	0.69	0.55	0.9	0.5	0.18	0.7	0.88	0.7	0
chr1:3417340	0.71	0.67	0.88	0.67	0.89	0.88	0.55	0.77	0.8	0.47	0.61	0.71	0.67	0.83	0.72	0.71	0.5	0.6	0.67	0.83	0	0.64	0.46	0.58	0.56	0.85	0.56	0.75	0.78	0.5	0	0.33	0.12	0	0.78	0.86	0.78	0.78	0.71	0.3	0.54	0.5	0.79	0.64	0.8	0.62	0.55	0.78	0.75	0.35	0.47	0.71	0.8	0.6	0.86	0.81	0.77	0.62	1	1	0.5	0.29	0.75	0.76	0.5	0.75	0.44	0.75	0.86	0.6	0.5	0.68	0	0.67	0.6	0.82	0	0.71	0.46	0.43	0.67	0.88	0.6	0.83	0	0.63	0.71	0.7	0.73	0.68	0.82	0.79	1	0.93	0.57	0	0.46	0.45	0.78	0.46	0.62	0.76	0.5	0.89	0.75	0.85	0.58	0.71	0.38	0.67	0.5	0.6	0.4	0.57	0.65	0.92	0	0.6	0.8	0.67	0.64	0.6	0.6	0.65	0.57	0.67	0.7	0
chr1:3615244	1	0.4	0	0.62	0	0	0.29	0.71	0	0.4	0.5	0.43	0.5	0	0.78	0.57	0.2	0	0.7	0.5	0	0.67	0.67	0	0.67	0.62	0.64	0.56	0	0.17	0.8	0	0.6	0	0	1	0	0.62	0.6	0.17	0.78	0.17	0.6	0.75	0.89	0	0.75	0.5	0.6	0.77	0.67	0.89	0.83	0.56	0.67	0.56	0.83	0.58	1	0	0.6	0	0	0.56	0.85	0.75	0.5	0.83	0	1	0.72	0.78	0	0.55	0	0.71	0	0	0.5	0.67	0.43	0.6	0	0.8	0.6	0.42	0.7	0.56	0	0.75	0.6	0.5	0.43	0.55	0.83	0	0.33	0.57	0.67	0.88	0	0.43	0.75	1	0.71	0.54	0.56	0.67	0.7	0.62	0	0	0.6	0	0.4	0.67	0	0	0.7	0.75	0.56	0	0.8	0.33	0.57	0.62	0.77	0
chr1:3891283	0.77	0.5	0.83	0	0	0.67	0.78	0.92	0.57	0	0.78	1	0.8	0	0.7	0	0.55	0	0.73	0.85	0.33	0.6	1	0	0.6	0.83	0.75	0	0	0.71	0	0	0	0.67	0	0.75	0.4	0	0.8	0.7	0.44	0.67	0.75	0	0	0.86	0	0.88	0.54	0.4	0.71	0	0.88	0.2	0.8	0	0	0.67	0.8	0.71	0	1	0.5	0.7	0.64	0.36	0.71	0	0	0.38	0.56	0.58	0.83	0.92	0.67	0.8	0	0.71	0.71	0.75	0.71	0.62	0	0	0	0.81	0	0.73	0.2	0.4	0	0.73	0.55	0.44	0	0.6	0.8	0	0.67	0.6	0	0.8	0.5	0.55	0.75	0.4	0.67	0.88	0.78	1	0	0	0.67	0.82	0.64	0.88	0	0	0.73	0.75	0.83	0	0.7	0.6	0	0.92	0.75	0.67
chr1:3904769	0	0	0	0	0.36	0.71	0	0.82	0.62	0.2	0.11	0	0.8	0	0.8	0	0.25	0	0.87	0.3	0.6	0.62	0.54	0.6	0	0	0	0.67	1	0.5	0.33	0	0.29	0.38	1	0.64	1	0.17	0	0.5	0.88	0.83	0	0	0	0.57	0.8	0.7	0.4	0	0	0.56	0	0	0.6	0.5	1	0	0	1	0	0	1	0	0	0	0	0	0.7	0.8	1	0.3	0	0	0.78	0.69	1	0.3	0	0	0.36	0	0	1	0	0.14	0.71	0.53	0	0	0.38	0.43	0.4	0.92	1	0	0.4	0.7	0	0.86	0	0.58	0.5	0	0.54	0	0.31	0	1	0	0	1	0	0	0.91	0	0	1	1	0.57	0.8	0.4	0.5	0.38	0.4	0.93	0.39	1
chr1:4061092	1	0	0	0	0	0	1	0	0.6	0	0.86	0.71	0	1	1	0	0	0	1	0	0	0	0	0	0.83	0	1	0.83	0	0	0	0	1	1	0	0.86	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0.83	1	1	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0.8	1	1	1	0.86	0	0	1	0	1	0	0	0	0.89	1	1	0	0.78	1	0.91	1	1	0
