PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000107959.11.PITRM1.wgt.RDat	PITRM1	10	3179920	3215003	0.490	rs9664019	 2.22	rs4881111	 0.03202	-3.78	 0.183862	734	18	enet	0.089	0.0031	-0.731	4.65e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000237399.3.PITRM1-AS1.wgt.RDat	PITRM1-AS1	10	3183824	3210164	0.628	rs9664019	 2.22	rs7924157	 0.14828	-4.70	 0.106890	729	50	enet	0.28	8.7e-08	-0.886	3.76e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000239665.4.RP11-295P9.3.wgt.RDat	RP11-295P9.3	10	13673143	13710299	0.595	rs11258745	-4.16	rs10906433	 0.32781	-5.76	 0.487337	710	 1	top1	0.33	5.1e-09	-0.487	6.26e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000240291.1.RP11-499P20.2.wgt.RDat	RP11-499P20.2	10	18802044	18834580	0.303	rs10828242	 3.03	rs3740102	 0.26908	 5.19	 2.416061	597	 4	lasso	0.28	1.3e-07	 2.336	1.95e-02
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000120539.10.MASTL.wgt.RDat	MASTL	10	27447478	27475853	0.474	rs2429482	 3.56	rs7086553	 0.39057	-5.87	-1.413326	465	 1	top1	0.39	7.6e-11	 1.413	1.58e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000165322.13.ARHGAP12.wgt.RDat	ARHGAP12	10	32094365	32217742	0.149	rs10733999	-2.66	rs2808079	 0.08643	-3.99	 0.738260	381	24	enet	0.11	0.0012	-0.267	7.90e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000271335.1.RP11-324I22.4.wgt.RDat	RP11-324I22.4	10	35603480	35625329	0.245	rs2804818	 2.26	rs11010152	 0.03051	 3.70	 1.750847	333	22	enet	0.058	0.014	 1.577	1.15e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000196793.9.ZNF239.wgt.RDat	ZNF239	10	44051792	44070066	0.283	rs2503875	-2.48	rs3006389	 0.07824	-4.34	-1.363284	462	 4	lasso	0.097	0.002	 1.561	1.18e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000188234.9.AGAP4.wgt.RDat	AGAP4	10	46321042	46349323	0.202	rs11239528	 3.77	rs10751384	 0.02247	 3.86	 0.868699	123	 5	lasso	0.049	0.023	 0.697	4.86e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000174194.11.AGAP8.wgt.RDat	AGAP8	10	51224681	51371321	0.551	rs10993994	 8.63	rs10761581	 0.46884	 6.38	 2.505942	206	 4	lasso	0.53	8.4e-16	 1.808	7.06e-02
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000138293.15.NCOA4.wgt.RDat	NCOA4	10	51565108	51590734	0.198	rs10993994	 8.63	rs10993994	 0.18108	 4.45	 8.633770	131	 1	top1	0.18	2.6e-05	 8.634	5.94e-18
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000099290.11.FAM21A.wgt.RDat	FAM21A	10	51827648	51893269	0.572	rs10993994	 8.63	rs2338050	 0.44924	-6.23	 0.800637	300	 1	top1	0.45	1e-12	-0.801	4.23e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000204147.5.ASAH2B.wgt.RDat	ASAH2B	10	52499078	52516948	0.311	rs12780322	-2.69	rs4245008	 0.20323	 5.17	-1.790610	473	 6	enet	0.23	1.5e-06	-1.770	7.67e-02
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000166321.9.NUDT13.wgt.RDat	NUDT13	10	74870217	74891586	0.343	rs11000433	-2.83	rs16930346	 0.30482	-5.84	 0.344680	223	20	lasso	0.34	1.8e-09	-0.265	7.91e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000236756.4.DNAJC9-AS1.wgt.RDat	DNAJC9-AS1	10	75007118	75036742	0.453	rs11000433	-3.14	rs7923276	 0.03931	-3.18	-0.305191	223	 1	top1	0.039	0.037	 0.305	7.60e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000224195.1.RP11-574K11.5.wgt.RDat	RP11-574K11.5	10	75573276	75574495	0.287	rs6480710	 3.00	rs2675676	 0.01644	-3.09	 0.317323	232	 1	top1	0.016	0.12	-0.317	7.51e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000156110.9.ADK.wgt.RDat	ADK	10	75910960	76469061	0.378	rs6480710	 2.81	rs11001014	-0.00797	 3.69	 0.733423	394	 4	lasso	0.0095	0.18	 1.201	2.30e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000224596.3.ZMIZ1-AS1.wgt.RDat	ZMIZ1-AS1	10	80703085	80827652	0.446	rs1316611	 6.23	rs4980014	 0.00739	 3.45	-1.426347	632	 1	top1	0.0074	0.2	-1.426	1.54e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000242600.2.MBL1P.wgt.RDat	MBL1P	10	81664654	81710092	0.237	rs10740501	 2.12	rs7072068	 0.01535	 3.49	 1.150131	324	 1	top1	0.015	0.13	 1.150	2.50e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000133661.11.SFTPD.wgt.RDat	SFTPD	10	81697496	81742370	0.271	rs2243639	-2.05	rs7908468	 0.04481	-3.57	-0.848516	314	 1	top1	0.045	0.028	 0.849	3.96e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000230091.2.TMEM254-AS1.wgt.RDat	TMEM254-AS1	10	81806616	81838668	0.477	rs11185982	-2.43	rs4478933	 0.23580	 5.45	-0.000417	331	 7	lasso	0.35	1.1e-09	-0.346	7.29e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000152778.7.IFIT5.wgt.RDat	IFIT5	10	91174343	91180758	0.271	rs12358054	-2.69	rs303212	 0.17993	-4.77	 1.926066	547	 1	top1	0.18	2.8e-05	-1.926	5.41e-02
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000232229.1.LINC00865.wgt.RDat	LINC00865	10	91589267	91600618	0.397	rs304411	 2.66	rs1125326	 0.28964	 5.06	-0.994953	488	 1	top1	0.29	5.5e-08	-0.995	3.20e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000270670.1.RP11-248C1.3.wgt.RDat	RP11-248C1.3	10	91597369	91599091	0.338	rs304411	 2.66	rs1125326	 0.05734	 4.30	-0.994953	483	52	enet	0.095	0.0022	 1.480	1.39e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000236493.1.EIF2S2P3.wgt.RDat	EIF2S2P3	10	94428502	94429500	0.214	rs11187196	-2.33	rs10882099	 0.05203	 3.79	-1.037718	376	 4	lasso	0.11	0.0011	-0.737	4.61e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000176273.10.SLC35G1.wgt.RDat	SLC35G1	10	95653730	95715819	0.411	rs11187761	-2.60	rs1223467	 0.03223	-3.81	 0.044911	479	20	enet	0.13	0.00032	 0.369	7.12e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000173145.7.NOC3L.wgt.RDat	NOC3L	10	96075004	96122716	0.213	rs11187761	-2.60	rs17516904	 0.07388	 4.20	 0.837139	339	19	enet	0.1	0.0015	 1.006	3.14e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000107443.11.CCNJ.wgt.RDat	CCNJ	10	97803151	97820627	0.231	rs11188759	 3.15	rs7071836	 0.17782	-4.28	 0.212671	495	 1	top1	0.18	3.1e-05	-0.213	8.32e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000227492.1.RP11-316M21.6.wgt.RDat	RP11-316M21.6	10	101989424	101993757	0.405	rs7084075	-2.11	rs7474634	 0.03123	 3.39	-1.256841	378	46	enet	0.038	0.04	-0.892	3.73e-01
NA	./WEIGHTS//GTEx.Prostate/GTEx.Prostate.ENSG00000095485.12.CWF19L1.wgt.RDat	CWF19L1	10	101992055	102027437	0.288	rs7084075	-2.11	rs11597086	 0.05562	 4.32	-1.083270	395	 8	lasso	0.13	0.00041	-1.087	2.77e-01
